advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
0.0,0.99999934,0.1,51,0.0001,3.850862741470337,0.9393865950405598,16.713813982076115,0.996736,1.0146398e-14,0.0,1.755135,0.01166174,0.020500569,0.010593964,0.25596392,0.64767146,0.29003906,0.27408928,0.63026506
-7.450581e-09,0.9999994,0.1,52,0.0001,3.8068039417266846,0.8708494156599045,16.52258655263318,0.996672,1.41364784e-14,0.0,1.8700457,0.07217451,0.08075737,0.010452904,-0.05071089,0.49293885,0.11816406,-0.053247236,0.5080839
-7.450581e-09,0.9999992,0.1,53,0.0001,3.6794588565826416,0.936672605574131,15.96987350947327,0.996608,1.0921819e-14,0.0,1.8244717,-0.018268997,-0.010023508,0.010069961,-0.030211322,0.5612998,0.12792969,-0.009843379,0.558483
1.8626451e-08,0.99999905,0.1,54,0.0001,3.7815001010894775,0.9543181695044041,16.41276085542308,0.996544,1.1563667e-14,0.0,1.8098934,-0.07114879,-0.06604684,0.006911841,-0.18988591,0.4960198,0.017578125,-0.19128373,0.44828364
-1.4901161e-08,0.9999993,0.1,55,0.0001,3.759690284729004,0.934791699051857,16.318100194136303,0.99648,9.037909e-15,0.0,1.8956317,-0.0196818,-0.016067004,0.005510429,-0.2591044,0.5183236,0.005859375,-0.23348711,0.52912843
0.0,0.9999994,0.1,56,0.0001,3.745896100997925,0.8733924776315689,16.258229605025715,0.996416,9.5201624e-15,0.0,1.9226598,-0.012543976,-0.0061361277,0.008330508,-0.2958315,0.4718855,-0.029296875,-0.27754807,0.52620053
7.450581e-09,0.9999991,0.1,57,0.0001,3.753300905227661,0.9657144397497177,16.290368512272835,0.996352,1.234169e-14,0.0,1.7937863,-0.0019192137,0.0013869042,0.0050999043,-0.17048942,0.5759834,0.06738281,-0.15628676,0.58047056
0.0,0.9999994,0.1,58,0.0001,3.583350419998169,0.918098621070385,15.55273619790872,0.996288,1.1379786e-14,0.0,1.8381445,-0.08804326,-0.06887078,0.021010619,0.07456227,0.62433445,0.22070312,0.059057742,0.6165933
3.7252903e-09,0.99999946,0.1,59,0.0001,3.726179599761963,0.9032641872763634,16.172654512855743,0.996224,9.076941e-15,0.0,1.7053938,-0.19050716,-0.16307016,0.029142391,0.11087905,0.5883891,0.24707031,0.09182231,0.58413243
-3.7252903e-09,0.9999991,0.1,60,0.0001,3.645212173461914,0.9532996565103531,15.82123339176178,0.99616,7.063794e-15,0.0,1.8474554,-0.0030369852,0.0052394494,0.01012389,0.14750898,0.5891325,0.23339844,0.16230285,0.5942771
